lifeexpectancy,polityscore,employrate,urbanrate,suicideper100th,hivrate
48.673,0.0,55.7000007629394,24.04,6.68438529968262,
76.918,9.0,51.4000015258789,46.72,7.69932985305786,
73.131,2.0,50.5,65.22,4.8487696647644,0.1
,,,88.92,5.36217880249023,
51.093,-2.0,75.6999969482422,56.7,14.5546770095825,2.0
,,,30.46,2.16184329986572,
75.901,8.0,58.4000015258789,92.0,7.765584,0.5
74.241,5.0,40.0999984741211,63.86,3.74158787727356,0.1
75.246,,,46.78,,
81.907,10.0,61.5,88.74,8.4700301251191,0.1
80.854,10.0,57.0999984741211,67.16,13.09437,0.3
70.739,-7.0,60.9000015258789,51.92,1.38096463680267,0.1
75.62,,66.5999984741211,83.7,3.3744158744812,3.1
75.057,-7.0,60.4000015258789,88.52,4.41499042510986,
68.944,5.0,68.0999984741211,27.14,14.5383567810059,0.06
76.835,,66.9000015258789,39.84,3.10860252380371,1.4
70.349,-7.0,53.4000015258789,73.46,26.8746902951384,0.3
80.009,8.0,48.5999984741211,97.36,15.95385,0.2
76.072,,56.7999992370606,51.7,9.38879585266113,2.3
56.081,7.0,71.5999984741211,41.2,6.05773973464966,1.2
,,,100.0,,
67.185,3.0,58.4000015258789,34.48,15.5426025390625,0.2
66.618,7.0,70.4000015258789,65.58,2.0341784954071,0.2
75.67,,41.2000007629394,47.44,11.8367156982422,
53.183,8.0,46.0,59.58,11.2139701843262,24.8
73.488,8.0,64.5,85.58,4.777007,0.45
78.005,,63.7999992370606,74.82,1.37000155448914,
73.371,9.0,47.2999992370606,71.1,9.216544,0.1
55.439,0.0,81.3000030517578,19.56,8.20422172546387,1.2
50.411,6.0,83.1999969482422,10.4,14.6809358596802,3.3
63.125,2.0,78.9000015258789,21.56,4.96107149124146,0.5
51.61,-4.0,59.0999984741211,56.76,7.21422052383423,5.3
81.012,10.0,63.5,80.4,10.10099,0.2
74.156,,55.9000015258789,59.62,5.63333368301392,
,,,100.0,,
48.398,-1.0,71.3000030517578,38.58,13.5484199523926,4.7
49.553,-2.0,68.9000015258789,26.68,8.28307056427002,3.4
79.12,10.0,51.0,88.44,10.17187,0.4
73.456,-7.0,72.8000030517578,43.1,16.9132480621338,0.1
73.703,7.0,63.2000007629394,74.5,4.907702,0.5
61.061,9.0,68.0,28.08,4.7510838508606,0.1
48.397,5.0,66.1999969482422,33.96,14.713020324707,
57.379,-4.0,64.1999969482422,61.34,9.87376117706299,3.4
,,,,4.37336492538452,
79.311,10.0,58.5999984741211,63.26,6.597168,0.3
55.377,0.0,59.9000015258789,48.78,20.3179302215576,3.4
76.64,9.0,47.0999984741211,57.28,14.77625,0.06
79.143,-7.0,56.0,75.66,10.57191,0.1
79.591,10.0,59.0999984741211,69.9,2.206169,
77.685,8.0,56.0,73.5,12.36798,0.06
78.826,10.0,63.0999984741211,86.68,8.973104,0.2
57.937,2.0,,87.3,4.99347591400146,2.5
,,,73.92,5.83525085449219,
73.396,8.0,52.7000007629394,69.02,6.5195369720459,0.9
75.632,5.0,59.7000007629394,65.58,8.50468444824219,0.4
73.235,-3.0,42.4000015258789,42.72,1.79990363121033,0.06
72.196,8.0,58.2000007629394,60.7,7.304886,0.8
51.088,-5.0,61.7000007629394,39.38,10.1293497085571,5.0
61.597,-7.0,64.9000015258789,20.72,8.91336250305176,0.8
74.825,9.0,56.5,69.46,16.95924,1.2
59.274,1.0,80.6999969482422,17.0,10.0719423294067,
,,,41.42,,
69.245,-4.0,56.4000015258789,52.36,3.94025897979736,0.1
79.977,10.0,57.2000007629394,63.3,16.23437,0.1
81.539,9.0,51.2000007629394,77.36,14.09153,0.4
75.133,,,51.64,,
62.703,3.0,59.0,85.04,7.7450647354126,5.2
58.491,-5.0,71.6999969482422,56.42,6.44915676116943,2.0
73.737,6.0,55.5999984741211,52.74,1.57435011863708,0.1
80.414,10.0,53.5,73.64,9.211085,0.1
64.228,8.0,65.0999984741211,50.02,6.28855466842651,1.8
,,,,,
79.915,10.0,49.5999984741211,61.0,2.816705,0.1
,,,83.52,,
75.956,,,30.84,3.57647824287415,
79.839,,43.0999984741211,,,
76.142,,,93.16,,
71.172,8.0,62.7000007629394,48.58,2.234896,0.8
54.097,-1.0,81.5,34.44,7.44382619857788,1.3
48.132,6.0,65.9000015258789,29.84,7.56369209289551,2.5
69.927,6.0,58.9000015258789,28.38,35.752872467041,1.2
62.095,5.0,55.9000015258789,46.84,1.51924800872803,1.9
73.126,7.0,56.2999992370606,47.88,7.06018447875976,0.8
82.759,,59.0,100.0,,
74.414,10.0,47.2999992370606,67.5,20.16201,0.06
81.804,,73.5999984741211,92.26,11.4261808395386,0.3
65.438,9.0,55.4000015258789,29.54,18.5838260650635,0.3
69.366,8.0,61.5,51.46,11.3961114883423,0.2
72.974,-7.0,47.7999992370606,68.46,6.02188205718994,0.2
69.042,0.0,37.4000015258789,66.6,17.0326461791992,
80.557,10.0,59.9000015258789,61.34,10.36507,0.2
81.618,10.0,51.2999992370606,91.66,5.931845,0.2
81.855,10.0,46.4000015258789,68.08,4.93004450889753,0.3
73.127,9.0,58.2000007629394,53.3,4.41750717163086,1.7
83.394,10.0,57.2999992370606,66.48,18.94693,0.06
73.403,-3.0,38.9000015258789,78.42,0.20144872367382,
67.017,-6.0,63.7000007629394,57.94,25.4046,0.1
57.134,7.0,73.1999969482422,21.6,10.9377183914185,6.3
,,,43.84,,
68.846,-9.0,64.5999984741211,62.68,4.73567342758179,
80.642,8.0,58.9000015258789,81.46,22.40456,0.06
74.576,-7.0,65.6999969482422,98.36,1.49805742428412,
67.714,1.0,58.9000015258789,36.28,9.875281,0.3
67.484,-7.0,78.1999969482422,30.88,26.2191982269287,0.2
73.339,8.0,56.7999992370606,68.12,20.36959,0.7
72.64,7.0,46.0,86.96,5.8383150100708,0.1
48.196,8.0,56.2999992370606,25.46,7.85861921310425,23.6
56.786,6.0,66.0,60.14,7.18485260009766,1.5
